label,Datetime,Text,Username,JumlahFollowers,JumlahLike,JumlahReply,JumlahRetweet
unlabeled,2018-10-25 02:30:53+00:00,"@antikonsultanpr @prastow @CreditSuisse @prabowo @Dahnilanzar Kalo ga berlebih ya artinya berkecukupan mas, gimana sik 😇",EksaOktavian,253,0,1,0
unlabeled,2018-10-22 09:39:29+00:00,@fadjarzcrackerz @prabowo Setuju pake banget mas.....,padipari,50,1,1,0
unlabeled,2018-10-30 14:28:52+00:00,"@jo_kodokk @RestyCayah @fadlizon @Gerindra @prabowo @jokowi @PKSejahtera @Gemacan70 @MbahUyok @hnurwahid @mpuanon @AkunTofa @fahiraidris @roninkhalid @ronavioleta @JackVardan @Dahnilanzar @firmanyursak @habiburokhman @MardaniAliSera Hajarrrrr teruuuuussss, kita ini nitizen yg masih memiliki akal dan nalar kaga peduli partai mana, disaaat ada kedzoliman maka hancurkan. Ibaratnya tuh FPI nya di alam ""ghoib""/maya/medsos. Mari kite jalanin amar ma'ruf nahi mungkar.",merdeka_100,80,0,0,2
unlabeled,2018-10-23 08:33:58+00:00,"@detikcom @prabowo Kalau untuk urusan tauhid..tidak perlu anda harus jadi pendukung Prabowo atau Jokowi..cukup anda punya iman pasti marah..karena disitu terletak rasa cinta kepada Allah..
Melampaui cinta kepada apapun dan kepada siapapun",hasbunallah,1297,18,6,0
unlabeled,2018-10-24 18:46:10+00:00,"Dengarkan
@Fahrihamzah 
@fadlizon 
@prabowo
@dr_tompi
@jokowi
  https://t.co/dGWaG0in48",Triyono10209250,14,1,0,0
unlabeled,2018-10-28 02:01:23+00:00,"@WongisJawanicus @hisar_manalu @Totok0912 @HusinShihab @prabowo @fadlizon @Fahrihamzah Gerakan nyata yg ingin merusak babgsa itu apa ya, terus terang saya tau hti setelah di bubarkan, ada pernah nemberontak atau bagaimana??",EdiWitj,717,0,1,0
unlabeled,2018-10-23 15:56:09+00:00,"@TeddyGusnaidi @prabowo Males banget mikirinnya. Gak ada guna juga sih.

Mending mikirin gimana caranya bs nonton @ygofficialblink 
#ehh",mr_krib,254,0,0,0
unlabeled,2018-10-26 00:14:37+00:00,@Dahnilanzar @prabowo @sandiuno Apakah ini juga termasuk tarian jawa bro https://t.co/PSPCL4yDU8,AgusJun88393245,23,0,0,0
unlabeled,2018-10-18 07:55:18+00:00,"@lebahtampann @ivanGLNO @Fahrihamzah @prabowo Ssssttt...
Jgn berisik...
Gue mo ngibul lg, denger baek2 yeee... @ivanGLNO dn @lebahtampann begooo.. 😅 https://t.co/MPBN0u21TG",p_pasopati,1134,0,1,0
unlabeled,2018-10-30 05:12:37+00:00,"@yunartowijaya Mas Yun iki piye toh, sejarah teman2 PKS jaman Pak @SBYudhoyono manageable banget. Biasa sajalah, namanya Politik ada bargain2, ingat nggak waktu Cak Imin ngotot pengin jadi Wapres? Mas @prabowo atensi panjenengan. #2019GantiPresiden",Taubat2014,735,0,0,0
